idx,dataset_index,miou_no_bg,adj_f1,compact_gt,compact_pred,num_inst_gt,num_inst_pred,boundary_violation_rate,expected_room_count,gt_room_count_combined,target_count_matches_gt,predicted_room_count,room_count_error
58,2830,0.19481757035904954,0.0,0.6615732673532836,0.5900535493419523,6,10,0.0025806451612903226,6,6,1,4,2
59,3420,0.23069316540430532,0.0,0.7900608969250486,0.5780035037535033,4,5,0.00019169941531678328,4,4,1,2,2
60,3533,0.6513478546656334,0.18181818181818182,0.7305693080893267,0.6863272246159106,10,18,7.153587524143358e-05,9,9,1,5,4
61,39,0.23076564016225026,0.5,0.7024672672923606,0.6066879955134867,8,18,0.0019666604233002437,6,6,1,5,1
62,2297,0.4966436764998357,0.5,0.6463532767564285,0.6463261236630847,7,15,0.0,5,5,1,5,0
63,1751,0.11954985696617601,0.2222222222222222,0.7126878653315644,0.6644171886771616,7,24,0.0,7,7,1,5,2
64,2890,0.23747047295272175,0.0,0.6183390210939519,0.6159649613315406,8,19,0.0,8,8,1,2,6
65,2259,0.5390800356322081,0.0,0.7049067292776777,0.5705308081797248,5,16,0.0,5,5,1,5,0
66,1809,0.45266900754072587,0.18181818181818182,0.6725402180224196,0.5758876917993981,10,18,0.0,9,9,1,5,4
67,3036,0.39471184096772044,0.33333333333333337,0.7722391098074207,0.7051828460133516,13,20,0.0003865854837150865,11,11,1,6,5
68,3542,0.5511701307039785,0.30769230769230765,0.7605741014255336,0.6590916530661868,11,14,0.0,8,8,1,3,5
69,1072,0.5955268837121682,0.3636363636363636,0.7118582915370912,0.6401188240153568,11,21,5.6053811659192826e-05,9,9,1,4,5
70,2609,0.2029584863878843,0.4,0.7752435463889858,0.7390939562007309,4,7,0.0011603303528769367,3,3,1,2,1
71,535,0.43021733471227597,0.0,0.778450537499282,0.6144547091055715,5,6,0.0,5,5,1,2,3
72,3158,0.4094646905175729,0.3636363636363636,0.6871170798256705,0.6740037827349175,14,33,6.235385814497272e-05,11,11,1,6,5
73,1366,0.5396609488188765,0.0,0.7802114744960889,0.7059631474808001,8,19,0.0,8,8,1,6,2
74,14,0.358728463910685,0.3333333333333333,0.7733060845929507,0.6214310896371746,11,29,0.0,7,7,1,5,2
75,180,0.5172379237739406,0.0,0.739588073351527,0.6334111387121394,8,11,0.001525280716557409,8,8,1,4,4
76,1133,0.3745611000088342,0.0,0.6510796900108358,0.6644607093070685,4,7,0.0,4,4,1,3,1
77,3446,0.34144486066043167,0.0,0.7313044673405317,0.7384846176394035,7,8,0.0,7,7,1,5,2
78,2598,0.45354101734377583,0.22222222222222224,0.6940112101924669,0.7263736533656928,10,14,0.0006179992275009656,8,8,1,5,3
79,378,0.19605192336043123,0.0,0.7461746127118255,0.635408703705231,3,11,0.00046125461254612545,3,3,1,1,2
80,208,0.1471121261966117,0.0,0.6928788220609462,0.8273494894026725,7,8,0.0009165902841429881,7,7,1,4,3
81,1028,0.40672882282115397,0.2857142857142857,0.6844387910194979,0.6995543687542627,8,14,0.0,7,7,1,6,1
82,3535,0.14295205758272825,0.0,0.22802720704967153,0.5922399969269259,3,8,0.009981700216270172,3,3,1,2,1
83,2070,0.4972960647733467,0.2,0.7219079111355073,0.6637143371263081,10,14,0.0018459069020866773,8,8,1,3,5
84,1081,0.41551060301256065,0.0,0.784600262394067,0.6920881910200446,9,16,0.0,9,9,1,5,4
85,2597,0.16553514901052108,0.0,0.576193432599855,0.6579442223263359,3,8,0.0050327126321087065,3,3,1,1,2
86,2815,0.180157420761395,0.2857142857142857,0.5880688355704303,0.6167189153180728,19,32,7.01508242721852e-05,16,16,1,7,9
87,833,0.3946692238102247,0.25,0.5205263218012268,0.6115158238686276,7,15,0.0009131228802504566,6,6,1,3,3
88,1404,0.5910191098541764,0.22222222222222224,0.6656676555790516,0.6942130270076645,9,11,0.00195253324356169,6,6,1,4,2
89,2939,0.4168275233803923,0.0,0.6241627181617687,0.6091170346792731,8,9,0.0,5,5,1,3,2
90,862,0.2949630413053614,0.0,0.7950158462117898,0.7816742312905216,7,12,0.0,7,7,1,5,2
91,2477,0.2910743867838063,0.0,0.7001646554771958,0.5700887996101591,7,28,0.0,6,6,1,3,3
92,1154,0.3737710299352907,0.0,0.786257476906723,0.71445891316567,5,5,9.188642837452908e-05,5,5,1,3,2
93,1115,0.3921559150970286,0.2,0.6395573494199792,0.6578427214431427,5,13,0.0,3,3,1,4,1
94,3714,0.4878615756634499,0.33333333333333337,0.781712530124811,0.7201904321640091,12,18,0.0028735632183908046,10,10,1,6,4
95,3579,0.23707073734888537,0.0,0.7509643794151695,0.7039316308353973,5,8,0.0016904129437333977,5,5,1,3,2
96,3040,0.2909575171832753,0.19999999999999998,0.7037101515602947,0.614388528541145,7,19,3.237293622531564e-05,6,6,1,3,3
97,438,0.4075783364382966,0.19999999999999998,0.7417013968328643,0.7139322331214357,6,14,0.002690238278247502,5,5,1,3,2
