idx,dataset_index,miou_no_bg,adj_f1,compact_gt,compact_pred,num_inst_gt,num_inst_pred,boundary_violation_rate,expected_room_count,gt_room_count_combined,target_count_matches_gt,predicted_room_count,room_count_error
60,3533,0.5143652671767499,0.0,0.7305693080893267,0.646918014686183,10,13,0.09490396430188192,9,9,1,7,2
61,39,0.16472949057623396,0.42857142857142855,0.7024672672923606,0.45653427834536453,8,14,0.1496936095710534,6,6,1,2,4
62,2297,0.39357932004766705,0.4444444444444445,0.6463532767564285,0.6101777370904976,7,13,0.13742450808494058,5,5,1,2,3
63,1751,0.07480244767229234,0.0,0.7126878653315644,0.6048003505157681,7,17,0.11821653310385628,7,7,1,3,4
64,2890,0.1721937365578167,0.0,0.6183390210939519,0.5573426907355117,8,14,0.06626557433009046,8,8,1,1,7
65,2259,0.4131611869207454,0.0,0.7049067292776777,0.5397642456771871,5,10,0.11155216008265137,5,5,1,4,1
66,1809,0.36994663278500506,0.0,0.6725402180224196,0.569017383324747,10,17,0.08582402234636871,9,9,1,4,5
67,3036,0.3112887335595996,0.33333333333333337,0.7722391098074207,0.5516746979234718,13,15,0.12580993520518358,11,11,1,5,6
68,3542,0.438359704088524,0.4,0.7605741014255336,0.6397771804603424,11,12,0.07733852329400316,8,8,1,4,4
69,1072,0.46562257013067104,0.33333333333333337,0.7118582915370912,0.49545863223788555,11,18,0.09343577834325667,9,9,1,1,8
70,2609,0.14522252446968154,0.5,0.7752435463889858,0.4723325730354769,4,5,0.14857357791794457,3,3,1,2,1
71,535,0.29288109678802277,0.0,0.778450537499282,0.4950193466602362,5,4,0.1486957260599881,5,5,1,3,2
72,3158,0.30714452085406146,0.0,0.6871170798256705,0.5140117545320684,14,21,0.12391038696537678,11,11,1,9,2
73,1366,0.42305757332447763,0.0,0.7802114744960889,0.6098165181946117,8,12,0.14598459440533668,8,8,1,9,1
74,14,0.3141049203918552,0.2,0.7733060845929507,0.5786877905989904,11,17,0.0695151696692199,7,7,1,4,3
75,180,0.40381582643906666,0.0,0.739588073351527,0.5009900182699547,8,9,0.10735112464450892,8,8,1,4,4
76,1133,0.27216984923286497,0.0,0.6510796900108358,0.6202422538801329,4,5,0.14177799278085812,4,4,1,2,2
77,3446,0.2888366341608988,0.0,0.7313044673405317,0.4906721890196848,7,6,0.21948316899013942,7,7,1,1,6
78,2598,0.3117396694620355,0.16666666666666669,0.6940112101924669,0.5122505128779428,10,14,0.1541388559665648,8,8,1,3,5
79,378,0.16323303410823653,0.0,0.7461746127118255,0.5471578858399694,3,9,0.07976714915040906,3,3,1,1,2
80,208,0.07133393937055031,0.0,0.6928788220609462,0.49236588760031114,7,5,0.2250870322019147,7,7,1,4,3
81,1028,0.29881991243459777,0.2857142857142857,0.6844387910194979,0.5941757462081358,8,11,0.15627960837982946,7,7,1,5,2
82,3535,0.09923892668392659,0.0,0.22802720704967153,0.5354004101562486,3,7,0.28299374855290577,3,3,1,1,2
83,2070,0.3880487639634095,0.25,0.7219079111355073,0.5908406361782365,10,11,0.10386987412990947,8,8,1,4,4
84,1081,0.38243856419011407,0.0,0.784600262394067,0.5580533477378613,9,13,0.11666616409854355,9,9,1,3,6
85,2597,0.1195696643589871,0.0,0.576193432599855,0.5808150870218944,3,6,0.2376237623762376,3,3,1,1,2
