idx,dataset_index,miou_no_bg,adj_f1,compact_gt,compact_pred,num_inst_gt,num_inst_pred,boundary_violation_rate,expected_room_count,gt_room_count_combined,target_count_matches_gt,predicted_room_count,room_count_error
0,1344,0.2083693417213271,0.3076923076923077,0.5901203466176943,0.5296395265089268,5,13,0.0,3,3,1,2,1
1,1632,0.43260565768235976,0.0,0.7591666012365347,0.598640380276117,9,14,0.0,9,9,1,5,4
2,791,0.26527055025056423,0.0,0.7171112740377283,0.5791806491035018,10,22,0.0,8,8,1,5,3
3,2703,0.3801595158623332,0.0,0.7652248427064325,0.5183340075732038,7,14,0.0,6,6,1,3,3
4,96,0.5018355899224627,0.5,0.7340459651951795,0.5125446199181007,10,19,0.0,8,8,1,4,4
5,913,0.2176416305395062,0.0,0.8247186889395197,0.5299286235934939,16,18,0.0,14,14,1,6,8
6,932,0.3717706078268771,0.0,0.5958380661497488,0.519511891907102,8,16,0.0,8,8,1,5,3
7,1250,0.4397841136214869,0.3636363636363636,0.7266497536869435,0.5074705737969223,9,13,0.0,6,6,1,5,1
8,1432,0.18703925600057522,0.4,0.7103098496045486,0.5560198450338547,4,15,0.0,3,3,1,4,1
9,1885,0.7127449799866837,0.28571428571428575,0.6944290460978301,0.5670439047578453,11,15,3.5408257205580345e-05,9,9,1,8,1
10,817,0.20947831046715898,0.0,0.7065202762635727,0.4445043597644121,6,16,0.0,5,5,1,3,2
11,911,0.3069838750892053,0.33333333333333337,0.7736930681264046,0.4163225294734404,7,14,0.0,6,6,1,3,3
12,1927,0.43940125092466076,0.5,0.5333184192107417,0.5378063201390985,7,7,0.0,4,4,1,3,1
13,158,0.17430380638471585,0.0,0.8184087273732702,0.5549412678705965,9,11,0.0,8,8,1,5,3
14,1566,0.42617167360569536,0.0,0.7036598507353241,0.4671687493820835,4,16,0.0,4,4,1,3,1
15,442,0.4265057135442188,0.0,0.7591222985688244,0.39922868989504434,5,9,0.0,4,4,1,6,2
16,3731,0.07744789026639835,0.0,0.8579546383267873,0.5478018296792573,5,9,0.0,5,5,1,3,2
17,652,0.2571356223408733,0.0,0.7314547011011661,0.5067701461872711,5,18,0.0,4,4,1,3,1
18,3570,0.22220400898353007,0.0,0.7932939242004262,0.5066860822335204,9,13,0.0,9,9,1,4,5
19,1016,0.310020566956866,0.16666666666666669,0.6819993147049709,0.5579450577394973,12,22,0.0,10,10,1,6,4
20,3010,0.2995593558895847,0.2,0.7768676849944292,0.5706026197402965,20,16,3.4092458748124914e-05,17,17,1,6,11
