comparison,mean_difference,ci_lower_95,ci_upper_95,bootstrap_resamples,bootstrap_seed,test_floors,test_buildings
U-Net baseline - cGAN baseline mIoU,0.009739925299880447,0.000596967273627336,0.01904507993199126,20000,20260810,418,404
U-Net baseline - cGAN baseline count MAE,0.3181818181818182,0.16267797417197008,0.47607655502392343,20000,20260810,418,404
U-Net morphology - U-Net baseline mIoU,0.005783648079510212,0.00333632028938572,0.008435355731486138,20000,20260810,418,404
cGAN morphology - cGAN baseline mIoU,0.003872249253506843,0.0017332771642448272,0.006272988512484554,20000,20260810,418,404
U-Net hill-climbing - U-Net baseline mIoU,-0.08107153102268945,-0.08438909043989629,-0.07773079787359119,20000,20260810,418,404
cGAN hill-climbing - cGAN baseline mIoU,-0.0807968127680305,-0.08408012238855436,-0.07747224363561223,20000,20260810,418,404
