method,test_floors,test_buildings,miou,adjacency_f1,compactness,bvr,count_mae
U-Net baseline,418,404,0.39826801489351604,0.2070866502543958,0.502904623456551,0.0,2.9401913875598087
U-Net + morphology,418,404,0.4040516629730262,0.21014504371859904,0.6230037731293294,0.0004185589825281992,3.035885167464115
U-Net + hill-climbing,418,404,0.31719648387082655,0.20522937323176557,0.553135370190625,0.1193079266142387,3.748803827751196
cGAN baseline,418,404,0.3885280895936356,0.20839383159605504,0.5064137743454261,9.309494583322912e-07,2.6220095693779903
cGAN + morphology,418,404,0.3924003388471424,0.20627149221295013,0.6420302854953789,0.000428291636690728,2.7440191387559807
cGAN + hill-climbing,418,404,0.30773127682560514,0.20136064603064321,0.5630950988839991,0.1196096668112239,3.4401913875598087
